PP,Blok,Condition,timestamp,avgDepth(avg),leftShoulderAngle(avg),rightShoulderAngle(avg),leanAngle(avg),HipCenter_Spine-Spine_ShoulderCenter(avg),Spine_ShoulderCenter-ShoulderCenter_Head(avg),Spine_ShoulderCenter-ShoulderCenter_ShoulderLeft(avg),Spine_ShoulderCenter-ShoulderCenter_ShoulderRight(avg),ShoulderCenter_ShoulderLeft-ShoulderLeft_ElbowLeft(avg),ShoulderLeft_ElbowLeft-ElbowLeft_WristLeft(avg),ElbowLeft_WristLeft-WristLeft_HandLeft(avg),ShoulderCenter_ShoulderRight-ShoulderRight_ElbowRight(avg),ShoulderRight_ElbowRight-ElbowRight_WristRight(avg),ElbowRight_WristRight-WristRight_HandRight(avg),HipCenter_Spine-PlaneZXAxisX(avg),HipCenter_Spine-PlaneXYAxisY(avg),HipCenter_Spine-PlaneYZAxisZ(avg),Spine_ShoulderCenter-PlaneZXAxisX(avg),Spine_ShoulderCenter-PlaneXYAxisY(avg),Spine_ShoulderCenter-PlaneYZAxisZ(avg),ShoulderCenter_Head-PlaneZXAxisX(avg),ShoulderCenter_Head-PlaneXYAxisY(avg),ShoulderCenter_Head-PlaneYZAxisZ(avg),ShoulderCenter_ShoulderLeft-PlaneZXAxisX(avg),ShoulderCenter_ShoulderLeft-PlaneXYAxisY(avg),ShoulderCenter_ShoulderLeft-PlaneYZAxisZ(avg),ShoulderCenter_ShoulderRight-PlaneZXAxisX(avg),ShoulderCenter_ShoulderRight-PlaneXYAxisY(avg),ShoulderCenter_ShoulderRight-PlaneYZAxisZ(avg),ShoulderLeft_ElbowLeft-PlaneZXAxisX(avg),ShoulderLeft_ElbowLeft-PlaneXYAxisY(avg),ShoulderLeft_ElbowLeft-PlaneYZAxisZ(avg),ElbowLeft_WristLeft-PlaneZXAxisX(avg),ElbowLeft_WristLeft-PlaneXYAxisY(avg),ElbowLeft_WristLeft-PlaneYZAxisZ(avg),WristLeft_HandLeft-PlaneZXAxisX(avg),WristLeft_HandLeft-PlaneXYAxisY(avg),WristLeft_HandLeft-PlaneYZAxisZ(avg),ShoulderRight_ElbowRight-PlaneZXAxisX(avg),ShoulderRight_ElbowRight-PlaneXYAxisY(avg),ShoulderRight_ElbowRight-PlaneYZAxisZ(avg),ElbowRight_WristRight-PlaneZXAxisX(avg),ElbowRight_WristRight-PlaneXYAxisY(avg),ElbowRight_WristRight-PlaneYZAxisZ(avg),WristRight_HandRight-PlaneZXAxisX(avg),WristRight_HandRight-PlaneXYAxisY(avg),WristRight_HandRight-KinectZAxis(avg),avgDepth(stdv),leftShoulderAngle(stdv),rightShoulderAngle(stdv),leanAngle(stdv),HipCenter_Spine-Spine_ShoulderCenter(stdv),Spine_ShoulderCenter-ShoulderCenter_Head(stdv),Spine_ShoulderCenter-ShoulderCenter_ShoulderLeft(stdv),Spine_ShoulderCenter-ShoulderCenter_ShoulderRight(stdv),ShoulderCenter_ShoulderLeft-ShoulderLeft_ElbowLeft(stdv),ShoulderLeft_ElbowLeft-ElbowLeft_WristLeft(stdv),ElbowLeft_WristLeft-WristLeft_HandLeft(stdv),ShoulderCenter_ShoulderRight-ShoulderRight_ElbowRight(stdv),ShoulderRight_ElbowRight-ElbowRight_WristRight(stdv),ElbowRight_WristRight-WristRight_HandRight(stdv),HipCenter_Spine-PlaneZXAxisX(stdv),HipCenter_Spine-PlaneXYAxisY(stdv),HipCenter_Spine-PlaneYZAxisZ(stdv),Spine_ShoulderCenter-PlaneZXAxisX(stdv),Spine_ShoulderCenter-PlaneXYAxisY(stdv),Spine_ShoulderCenter-PlaneYZAxisZ(stdv),ShoulderCenter_Head-PlaneZXAxisX(stdv),ShoulderCenter_Head-PlaneXYAxisY(stdv),ShoulderCenter_Head-PlaneYZAxisZ(stdv),ShoulderCenter_ShoulderLeft-PlaneZXAxisX(stdv),ShoulderCenter_ShoulderLeft-PlaneXYAxisY(stdv),ShoulderCenter_ShoulderLeft-PlaneYZAxisZ(stdv),ShoulderCenter_ShoulderRight-PlaneZXAxisX(stdv),ShoulderCenter_ShoulderRight-PlaneXYAxisY(stdv),ShoulderCenter_ShoulderRight-PlaneYZAxisZ(stdv),ShoulderLeft_ElbowLeft-PlaneZXAxisX(stdv),ShoulderLeft_ElbowLeft-PlaneXYAxisY(stdv),ShoulderLeft_ElbowLeft-PlaneYZAxisZ(stdv),ElbowLeft_WristLeft-PlaneZXAxisX(stdv),ElbowLeft_WristLeft-PlaneXYAxisY(stdv),ElbowLeft_WristLeft-PlaneYZAxisZ(stdv),WristLeft_HandLeft-PlaneZXAxisX(stdv),WristLeft_HandLeft-PlaneXYAxisY(stdv),WristLeft_HandLeft-PlaneYZAxisZ(stdv),ShoulderRight_ElbowRight-PlaneZXAxisX(stdv),ShoulderRight_ElbowRight-PlaneXYAxisY(stdv),ShoulderRight_ElbowRight-PlaneYZAxisZ(stdv),ElbowRight_WristRight-PlaneZXAxisX(stdv),ElbowRight_WristRight-PlaneXYAxisY(stdv),ElbowRight_WristRight-PlaneYZAxisZ(stdv),WristRight_HandRight-PlaneZXAxisX(stdv),WristRight_HandRight-PlaneXYAxisY(stdv),WristRight_HandRight-KinectZAxis(stdv),Added
PP6,2,I,20120901T155300000,2117.3866997177,-117.2717275495,109.2201921876,102.0862330514,175.5784780997,163.5631770424,66.3119705714,64.4194636177,134.3646807602,127.8009796964,171.3127035257,107.4287128125,138.850577308,140.4272681965,-102.1754552094,-3.7429242785,106.4555067561,-106.414437443,-3.7481421147,102.0862330514,-62.0699244092,10.7910315896,109.2874454019,111.9961685854,-117.2717275495,-82.6343823525,37.3875855608,109.2201921876,-24.550464932,-138.7372712866,-156.7623867312,-109.3827510936,-88.3372588856,-8.6052931168,-156.6583915755,-94.0047641396,-103.8241427527,-160.1895322206,-45.2977472578,113.0653658721,-96.7058193766,13.0591483107,135.5175063927,-76.7369667621,-2.6119472299,99.4509112029,-97.1970998334,22.3913574747,2.9175894392,2.1474900913,2.7666193595,1.218603321,6.5461828733,3.1819807697,2.6943205419,7.2702275582,6.3722476655,11.9145294396,9.2344381111,15.8643534006,25.4097728174,8.443741328,2.8801650786,2.9296942496,13.1551513803,3.0812605355,2.7666193595,13.458620753,5.6159550273,4.0489063752,134.9787363413,2.9175894392,8.1600821353,2.3003920413,2.1474900913,2.8199540603,14.9067222545,21.2594064373,4.7326866352,7.0849991056,169.5563980375,4.1944288185,4.864206255,129.145020992,5.893983768,38.734147138,126.6418604579,6.4730274702,15.2677548915,8.7780050343,13.1368083208,59.7036596112,88.7564403203,67.8237646974,
PP6,2,I,20120901T155400000,2112.5343962141,-115.8450131768,107.7972040366,100.9364169453,175.5943550662,163.4424375885,67.4438263765,66.2717811419,134.0079346862,124.6601233477,171.7055590989,97.2423470915,94.1827078757,159.3637377061,-103.7011404936,-3.6116363586,105.2703149242,-109.3029771919,-3.5786431451,100.9364169453,-59.7400909029,11.4630365224,108.4068045498,128.2444030558,-115.8450131768,-80.8495471695,34.7353575867,107.7972040366,-25.4321159387,-139.4177969914,-155.8826230232,-111.1658670534,-87.0613062511,137.291577583,-161.0350497291,-89.8026212657,113.0810922492,-158.8855730281,-76.7356028112,47.7462867825,-105.0254406568,-89.8007981168,-11.7103524482,102.1494231102,-85.3279485601,12.608493403,68.138665989,25.663948095,3.1111808972,2.4584368882,3.0275789802,1.0570071484,3.5829604033,2.9255751414,2.1397669486,7.6736778165,8.7633346823,13.1816019412,13.0163414113,22.0510151767,24.5147556502,8.3012671579,2.0319315013,2.9461472887,13.5270422103,2.322938473,3.0275789802,10.0676714014,4.9465511231,3.4270145951,119.4004472738,3.1111808972,11.0374301802,5.5691847385,2.4584368882,10.8529572882,11.1054223329,4.7604205098,5.3015016216,6.8268021128,106.900647626,4.0507751747,7.9778349415,125.8909224028,3.9677492379,34.1304032276,163.4900105978,9.1201834522,44.3182877722,77.2264216808,109.8286837315,39.7437029723,86.0897024934,138.7059123915,
PP6,2,I,20120901T155500000,2114.3238124464,-115.1956842185,108.2580224476,100.5087298056,175.2062346681,164.3219599242,65.5695149889,68.1287564932,136.4863684744,125.2745421457,173.1079042498,101.9898655811,108.5476503648,145.6169408989,-86.1806292536,-1.3024221198,104.1211092491,-93.2857476662,-1.0568639814,100.5087298056,-59.5746687941,12.0977028962,109.5109086056,133.5818621814,-115.1956842185,-80.4166059881,36.4741122756,108.2580224476,-24.0947152833,-142.6555993288,-151.8289343993,-112.2246943442,-88.6178999594,-47.5283492155,-160.9879384668,-89.9874584824,99.7684586518,-159.5339722409,-52.4194869279,50.7063069702,-101.9549654846,-115.1603689133,-110.5279704621,-102.0749128787,-83.0830033975,-49.3131483834,-37.6831580387,25.4058618215,3.3911506807,3.3944827537,3.824527957,2.5825767461,3.805586097,3.2317473648,1.6287031099,3.8030729102,4.8278165519,7.7313032579,18.3623092351,29.1769524698,28.8279805534,43.3464798003,1.1964256043,6.4205386311,27.4848823728,1.0869393608,3.824527957,9.4353340938,5.3045679886,3.6737035692,112.8028914741,3.3911506807,7.7468850228,1.8530976659,3.3944827537,4.800208261,7.3712997016,2.8438271653,3.816211388,4.8434852512,167.0027650868,2.5183171867,4.6210999156,139.8042846037,2.8052075755,54.2248553793,160.5316785918,17.2912438071,6.312378058,29.0189239559,124.5939374275,68.3520744229,106.7886802863,149.3676400063,
PP6,2,I,20120901T155600000,2115.2890859351,-117.6529437803,109.8884762863,98.3155600015,175.7318195618,161.7253117485,66.4107144127,65.3457309668,132.7264486469,128.5476735095,159.8670986131,88.5884450053,75.5542891738,149.8019901239,-107.8220540086,-4.0998552721,102.5432459682,-115.9190986799,-4.0706463748,98.3155600015,-66.5714676929,9.7521854787,110.6778497463,38.3929057829,-117.6529437803,-83.9227301502,33.1354699715,109.8884762863,-28.7378205177,-131.2324091624,-156.8068700627,-116.0956507075,-78.1097632612,144.7922208662,-156.18650965,-95.9942145809,34.3133025705,-163.215740316,-71.4772201903,98.6805123388,-120.5801104125,28.8942666164,83.4080246146,-53.6700245388,12.2970775318,93.704239995,-66.106679424,20.8413153371,2.3668368978,3.5189186901,3.2581364028,1.1662162147,7.2917429609,4.713865111,2.9635216546,5.9657481706,7.203176295,22.622975488,16.25181892,50.6243569959,29.5511347958,12.0698835846,3.1711959088,3.4695050946,17.5181701214,3.3359681022,3.2581364028,9.3887183004,5.1347096533,6.1560823096,167.0815246563,2.3668368978,15.5784299282,4.3456628082,3.5189186901,4.04884638,8.8499006435,4.3071964005,3.8294087254,12.4097030667,68.4802866051,4.5148159588,11.7695902856,149.5379389805,6.7110315361,18.9940908722,103.5003059525,78.9463846548,67.124659242,94.2611996432,55.7184174758,69.0506488113,81.4094466352,88.6556384508,
PP6,2,I,20120901T155700000,2117.1565224172,-121.5459133251,113.4544509267,88.562187305,150.5779958412,157.1826301187,63.1571313603,63.2886389456,130.6334324449,145.9828628697,163.1949472932,85.3577134323,91.9525160779,165.8246014794,5.5858856836,-16.7257071979,62.6974213038,-1.1908298197,-4.8769805045,88.562187305,-65.9118815539,8.0423412958,107.064891052,-149.7025466613,-121.5459133251,-105.4652286739,20.1642879522,113.4544509267,-50.3403503194,-110.4356998446,-164.5003008184,-131.5364494025,-78.7314704293,156.2047923086,-156.346963406,-94.4686650704,-50.4520272613,-162.3209121816,-78.9547510047,87.234021505,-166.1730253598,3.1462687268,50.9818805005,-78.7760154496,-3.094218697,57.620619302,-81.3461919411,24.1039164914,2.5620491716,4.2187712719,6.1002427233,23.2464318848,3.0508934249,3.8480206827,2.4829372494,5.5024376741,13.8419267125,14.733928818,7.8293523447,61.9558748666,16.8760955429,114.9644658345,10.3636300469,32.6064566211,131.8747051353,1.6605463569,6.1002427233,16.6812135139,5.3459134419,6.2074214706,80.1927509278,2.5620491716,8.939818377,7.7229923778,4.2187712719,16.1939894262,13.7429775621,6.0695447868,11.6898982839,7.6489818076,23.2763562043,3.7177678817,7.6221190069,152.0908347954,4.5746479302,6.6390074786,92.8361486022,37.1660893777,83.2803397594,142.425970533,65.4204643914,82.1688288795,128.7379507154,67.5065211457,
PP6,2,I,20120901T155800000,2120.2145214356,-122.4978385314,114.4494652069,83.7561669217,126.9601107609,157.029481525,60.8176625398,64.6188303796,126.6091256682,157.7972014445,174.3724910198,113.5791496953,86.0573387024,158.7779470772,108.0954347167,-28.4016065851,31.1108648054,121.9530859455,-3.9443279313,83.7561669217,-74.7101995004,4.1578561454,105.1479685556,-165.4608178562,-122.4978385314,-109.8055283584,16.4036561543,114.4494652069,-56.8405990726,-100.0330220593,-168.0862488195,-141.7151939273,-84.8431256296,166.7104775455,-159.6712662691,-85.9819828087,108.4558911813,-157.4319226518,-53.574121949,128.5698285272,-142.3657332913,19.3135717233,-67.2613829467,-97.7137003347,5.3091160232,-67.6050816376,-102.6649210029,20.7560974236,4.1576408756,3.4863933497,1.4892615182,1.7688222507,3.1151996537,3.8659927664,3.5343897498,4.7680424567,7.4947834765,8.3581494911,24.521332754,33.734302453,25.4753085362,2.1662894095,3.1294762732,1.5730928783,11.5601831119,1.5296913851,1.4892615182,15.5345168445,4.1521587584,3.3285454158,2.3309870945,4.1576408756,23.7920939706,3.3078296209,3.4863933497,9.5204391067,5.9682432911,4.2272916419,5.0364204426,3.6342020755,7.0495085475,3.7461671395,8.5460283452,127.2562562822,29.1662337625,23.436593342,15.2805774359,34.7942225669,126.0306528797,119.7787652768,53.7459539838,125.8895729163,112.7399659318,61.4944372546,
PP6,2,I,20120901T155900000,2121.1081547053,-122.7797722483,115.7673156882,82.0299940863,127.1185622199,154.4021722241,59.1213860962,64.6731585461,127.6663167547,159.2404919919,177.1637666408,144.5876144596,76.7241090972,136.0619769158,107.1096932097,-28.2197610124,29.772488238,108.7109763406,-2.8271539144,82.0299940863,-72.3158657753,5.4712972736,105.9448087768,-163.3077249305,-122.7797722483,-114.9595179576,15.1331602455,115.7673156882,-60.6688333796,-99.3712945035,-167.8275702381,-143.0705263471,-86.3067106477,169.0120617427,-160.6415146669,-87.9433806371,124.8988723863,-159.2685618222,-20.667581979,138.5257539716,-107.0303143788,-139.8830761706,-89.1425048601,-148.57607395,-105.1664034452,-118.2694351446,-156.7559003774,24.4479046076,2.872859987,1.692802175,1.2720114951,1.4551238382,3.3172654968,2.0156137384,2.0927161632,4.2706840105,6.7828242673,2.3127623327,9.5982749172,21.8937556233,20.3040581056,2.2248927517,2.9831481395,0.7021668711,12.5336118336,1.9681830196,1.2720114951,20.9734714252,5.9042618087,3.8826443153,1.486843963,2.872859987,1.5144628131,2.5910031097,1.692802175,5.7052842659,2.5603209943,1.9190752647,3.9467433057,1.7548118706,6.9953386392,2.3616352942,2.1847245996,119.4151737971,2.2422182298,15.9868052048,7.2008171337,10.3141657706,45.3475071328,59.8008266988,44.825167647,36.5368651316,77.5283698224,47.4611556213,
PP6,2,I,20120901T160000000,2121.859719917,-123.4904048237,115.7014715517,81.615342288,127.6516986537,156.2661697372,58.7285884841,64.5060107725,128.6402175506,156.1561106318,176.2776304534,132.0318239374,97.4942004606,154.5522228123,107.5458676976,-28.7619616473,29.8392329151,104.4534755983,-3.250529428,81.615342288,-69.9530448912,4.5967626313,103.4766497654,-160.4134470086,-123.4904048237,-114.5023162466,15.4939495033,115.7014715517,-60.0225990142,-99.8387289658,-153.3620348218,-141.5004531308,-84.3816130294,164.7358526424,-161.2321982125,-85.6278042628,149.7902375452,-158.6234524397,-38.9076084885,102.5076128025,-116.274458831,-113.6623084655,-70.4719740856,-133.8493271022,-106.7945973832,-52.9388107978,-129.1612371673,24.8474322244,1.7647588393,2.5131475688,2.5535852206,1.3670833789,2.8616529565,2.6075310071,1.9386777517,5.6868747081,8.5200091282,3.827068417,19.0009014102,37.3418967923,27.488825613,2.6977887033,2.8656203886,1.7357348278,39.7967889736,1.8083375089,2.5535852206,21.436822203,5.7051373478,3.4448272923,29.2512257385,1.7647588393,3.7899151075,3.4122480168,2.5131475688,7.7558867686,5.5723601,67.2124614428,5.0079815057,5.6579805905,10.3080127402,2.7492053965,7.7235097528,77.9257474723,20.8154279508,29.7302897666,102.8586371877,14.6898147227,73.3421290232,104.013416179,76.2837167238,71.6827407677,109.580326442,89.1965842494,
PP6,2,I,20120901T160100000,2126.1344399944,-120.2178211068,115.9039324903,82.7419776935,128.533996273,154.9122127012,61.8167142583,64.7165081565,121.8231847601,158.9453356668,176.1031805353,107.7588533878,120.5584570171,162.7749928177,108.3699678766,-27.900301657,31.968197247,83.1226355543,-3.0139378908,82.7419776935,-75.9031684177,5.0980458569,105.8370225105,-135.1642616975,-120.2178211068,-112.0984962281,18.0577806789,115.9039324903,-56.7241426,-95.8124098704,-117.3995199904,-142.9089990928,-87.9789539975,130.8274419351,-160.5719238335,-89.9126568397,65.2309624119,-158.5268774787,-80.2833548899,-50.7827466948,-120.1023182204,-128.2048371992,-110.8610247887,-139.2807472283,-125.068108088,-86.3306594724,-134.1220677177,22.9598408082,2.9829352854,2.1836541842,4.0537433238,5.8493456586,7.0158836145,4.423703307,3.0464692823,11.4892061557,5.4737141455,6.009569624,22.8675352561,38.6829021071,20.4034854616,4.5613211125,3.6054550975,8.6053099744,81.4075022754,2.2035726996,4.0537433238,22.6219436423,5.6629736352,4.6509818474,95.3841682572,2.9829352854,10.300113218,6.5420168825,2.1836541842,9.8605768665,7.739479943,119.6243780619,3.1869437352,4.5442879782,109.5990260653,2.0667319892,3.755310351,161.5292105564,1.6545990497,39.1489519611,148.9289703124,8.0404559943,47.5647764467,53.388934229,30.8041865942,49.6337356305,89.393134264,60.095059048,
PP6,2,I,20120901T160200000,2121.9300962244,-122.7217439866,114.9311342704,82.0249943544,126.1994100916,154.7527312813,60.5968566077,64.1306185648,128.728390837,156.9741288523,177.0315242853,124.785454918,93.9459981588,147.7724761727,108.596720414,-31.6514016504,28.5286967763,117.8543247771,-4.3407716323,82.0249943544,-73.0899299155,4.610772938,105.2751229984,-162.2078529723,-122.7217439866,-116.2888137272,15.5105952175,114.9311342704,-58.9781804976,-99.412849617,-161.4385351577,-141.9114067361,-85.8622551667,168.1588192036,-161.8595986889,-87.233204138,160.5867458959,-159.7686047717,-50.0771767151,101.8989777046,-121.9850071305,-60.4747424952,-29.9187601091,-102.0035899565,-50.2199740613,35.5604024305,-111.2209729604,22.1802223665,2.702091512,2.6635988571,2.1726361637,1.5901658509,2.8778515406,2.9532094361,2.7261492993,4.676593718,5.5350738589,2.3281137472,18.1726728971,50.5054090308,27.4528966047,3.2832161673,5.0589243964,1.281172382,14.259385796,2.61225085,2.1726361637,17.8670990678,5.7661126126,4.2845862361,4.074698742,2.702091512,5.1029060794,3.2437076933,2.6635988571,8.0426306811,3.1231709614,46.5606068902,3.0498319168,4.8605935919,9.2092367353,1.3975453194,4.1413729294,59.5936841783,1.7011228657,29.999967291,109.2671352365,14.4281956457,97.2225977104,120.3893039766,97.6160449174,85.8436865376,122.6668742314,97.200441892,
PP6,2,I,20120901T160300000,2122.9046934618,-125.2984337629,117.0928258447,80.0253707657,127.8819859489,158.515219269,58.8269149664,61.0121828326,134.5616275604,155.6130749504,176.5050762774,121.902881516,73.0062819016,157.5618641566,110.2126305509,-34.4726763787,28.1223486423,117.5974467382,-5.6140143987,80.0253707657,-68.7254298588,2.989596594,99.2202689588,-157.0982811723,-125.2984337629,-120.7979089217,13.4535399227,117.0928258447,-64.8795654298,-101.1107883626,-166.3785148421,-141.6781506149,-85.6522970384,166.5762004573,-162.4228573912,-87.5956292395,162.5943851937,-160.0588049322,-59.1540660146,72.0157617504,-124.8445232612,-10.4755729427,11.3237042466,-11.8929846553,-23.0581814058,-14.8050534544,-26.780483749,21.8505632186,2.4970474879,1.9925308138,1.7138881212,1.5179265309,2.7947937651,3.3358841936,3.7965205376,4.4511610419,5.9201897505,2.5393760547,17.3652862885,58.9226095769,24.8699557028,2.8359925964,3.8649391606,1.599421697,21.8799629866,2.5592976526,1.7138881212,22.6905972939,3.8535574632,3.4654503878,2.9508465271,2.4970474879,3.4324307462,3.7504280214,1.9925308138,7.5070925939,3.4423749534,2.4776566202,3.5922578773,2.3813907701,5.9155773275,1.3691583305,2.9472052657,55.6423614715,1.8816572014,26.0774415006,136.0232292632,10.9718906419,114.7765235433,102.1195413283,117.8662839165,112.5050095079,90.4963636409,123.927015499,
PP6,2,I,20120901T160400000,2121.7156716499,-123.6652843022,115.7606167896,81.4112278463,125.2451231981,154.9814717799,57.6043045037,66.0095388435,128.2012636521,153.8406571264,174.3309153605,95.5501542874,72.9950238698,130.5086960625,109.0271247683,-33.30996533,27.6811130716,104.8865470792,-2.2999603418,81.4112278463,-70.0391916672,5.6907378542,105.1645152183,-159.8342079609,-123.6652843022,-118.8671822917,17.5314499887,115.7606167896,-56.7717486229,-96.5441550957,-37.497787989,-142.6783354476,-75.4718499738,149.528247272,-159.645235959,-74.3742138173,140.5099156842,-161.2101066563,-100.5414470346,-172.6321791992,-124.5283287904,17.3069845985,85.8380066865,-23.3195697136,-29.6962104291,106.3511759497,-117.9627796819,26.0980313018,0.3588232435,1.0704865837,0.9022556122,1.0688316932,2.0315059077,1.4133503901,0.8021675756,7.5684047391,5.9385504788,5.0462995004,2.4187598835,23.7778312955,24.1672212951,1.5162216391,2.4571657773,0.7303605568,6.4558050622,0.9511439715,0.9022556122,6.0599647997,1.9275289603,1.9467024121,0.969289912,0.3588232435,1.5753124677,0.6212173493,1.0704865837,1.5424525706,8.5227510428,164.8176071512,4.5761704672,11.8060595187,26.9524724767,3.9942449819,15.2991027318,53.6327607355,2.6376390466,3.0280462542,2.2325084751,0.7764193179,16.9746652211,23.9796154309,54.1346278087,35.8117578443,31.008947776,72.9568897995,
PP6,2,I,20120901T160500000,2118.2477877236,-121.9349357821,113.835264523,87.031742765,141.1581535704,155.2542641725,60.2779606317,65.9683597716,125.8223618665,146.1616465462,170.2568500746,99.8332823053,92.0805237104,143.5585080539,45.0251195981,-22.4124860473,50.9832571739,29.4643260058,-2.4253024727,87.031742765,-69.0413071563,8.0460771532,108.5525678044,-161.2447963947,-121.9349357821,-112.1666608012,21.3761843957,113.835264523,-49.0479664697,-101.7217133763,58.5956751441,-135.002591808,-69.5578983779,127.8880585086,-155.8998249656,-69.2704057965,59.6835446692,-160.0286714272,-84.0992324843,-69.4420089105,-117.6454215216,-8.5380618817,52.5234416277,-55.4901552166,-39.5584871974,84.0264854028,-116.8966079604,29.4223423015,2.8191790975,3.774156992,8.6990757844,23.2435731604,2.0192097197,5.1058997705,1.9247404206,9.4248519782,12.4093094113,9.571101163,9.47043405,35.6039771813,27.287995656,98.762099094,12.1597116707,34.0809749724,102.4181275268,1.7529736545,8.6990757844,9.4176203583,5.4526141754,6.1203481707,36.359849279,2.8191790975,7.4142402296,6.2275324338,3.774156992,12.8586172799,28.0475797131,160.2956418215,15.8968815059,11.9777098287,69.4238190177,2.3398243439,17.5487621783,122.2657513024,4.279825172,30.8272129287,155.0175780719,11.944275183,45.8818420956,103.709959359,71.0654626364,45.0776719881,95.8272676289,72.7395652993,
PP6,3,R,20120901T161900000,2113.6184400626,-130.6736086739,151.300629348,104.5228027664,176.5358555051,153.7094623674,71.0452579826,62.2323873304,129.936235251,84.4634843678,151.6550930951,130.9534275875,107.0235317476,155.2109573271,-142.9212897403,-23.0879122443,107.9245428081,-148.3701843422,-22.7058628286,104.5228027664,100.6265797143,-3.7983399896,85.4648240219,168.5102241707,-130.6736086739,-80.0430691471,-66.886214202,151.300629348,-142.2495994351,-120.8235307781,-142.3533440441,-134.6218508163,-23.4363514184,79.962459095,-1.6172316456,0.7526175579,61.9857225805,-2.0639537383,-2.917702118,134.3771417493,-92.9577594685,125.8675056605,-95.1937491198,-76.7862918293,17.8896460846,-82.4516231257,-95.6894421955,28.3913375957,2.9114028217,6.9222572978,2.5955781054,1.4210993646,3.9183211868,3.1255695247,3.5093491832,8.488530521,22.704894992,28.1284987463,6.7892090077,22.6199565026,26.9149899491,5.1411661659,2.162855004,3.0238058182,4.7677218472,1.6192341531,2.5955781054,81.6133970874,3.9553133994,3.3639484727,32.401476718,2.9114028217,3.8053946356,5.339097719,6.9222572978,4.8714552232,11.5653894441,48.413217486,2.5235025803,50.2246771131,55.7612875101,150.0958471521,57.1645852029,58.1758781367,117.5473137529,3.7666276506,4.5515437633,4.0555117503,71.1810447981,110.4285654604,22.5064584839,143.1551267717,103.4005332774,66.3446674291,
PP6,3,R,20120901T162000000,2113.3350157674,-129.9986651348,149.7709811516,104.5285082786,176.8026015214,150.3061090184,71.4648774814,63.4372549787,130.108341693,90.7543250131,155.4045219248,129.4300879859,119.187148367,176.5412922363,-143.7609170245,-22.713937983,107.5080913822,-148.9621709419,-22.7863230514,104.5285082786,55.2587554004,0.5191441584,85.8606984688,142.7993728857,-129.9986651348,-79.452183335,-66.4442252166,149.7709811516,-143.5826935607,-121.7336518194,-148.5008841791,-135.0506881116,-26.9957010508,95.569347086,-7.7327779496,-3.3543805951,75.5696989766,-0.8911661005,-1.7584192479,133.3137592889,-92.0248456498,108.9876192842,-50.9583125643,-79.4620836637,108.5078429579,-51.2580089041,-76.479435154,28.014571553,3.7017653605,4.6824392617,5.1673877853,1.5697129824,5.9337499065,3.1584357131,3.9366015485,7.9443281289,34.066016193,29.1262136676,6.6581488143,30.6506365337,2.7959336114,9.6530799286,2.712874066,5.6226713074,9.6480029831,1.6914124119,5.1673877853,63.0279754339,5.8220034079,4.2567468267,94.4356568394,3.7017653605,8.0574684749,6.034604491,4.6824392617,5.2777278354,9.3023724732,8.2922362816,2.3146253895,40.5587760827,48.3958854854,143.5621071631,62.435621786,63.3490651616,128.0185785956,4.2936051025,5.9372367315,4.0454171581,71.4381707367,140.193762254,6.7782140233,66.3904629175,139.9333500358,6.2358655849,
PP6,3,R,20120901T162100000,2118.7610207482,-128.8871128061,151.8914574053,106.0693667142,177.1929839199,150.5118634345,71.7664782867,64.0027111047,124.4368195496,106.7120958662,160.7591554515,127.1994948217,141.0502634339,166.9992665756,-140.7357125402,-22.3793666894,108.8647810094,-145.3247946523,-22.2444255769,106.0693667142,72.756575003,0.7489668815,87.1856365492,169.7697097338,-128.8871128061,-77.2515689573,-67.2913530082,151.8914574053,-142.3653964441,-117.1243857588,-150.641724273,-137.8688989617,-38.002345288,98.5188965991,-38.35331312,-21.2622911279,82.4505739922,-52.4360394146,0.5841594905,129.9223496732,-89.2288315742,-17.5500008149,120.2873666852,-94.5047112553,-9.0776099417,131.0100052104,-60.4214748727,23.9468683542,2.7434930294,5.5034271001,4.2309912047,1.1849773695,3.2870436785,2.8932385388,2.2820262876,5.7107609396,32.2612556102,24.3140916713,6.1383596199,37.4072192795,23.5162126286,6.1174809069,1.6875405261,4.1830713408,7.0490829549,1.3472291602,4.2309912047,65.4520763901,5.6487755031,3.2998149375,4.4062190939,2.7434930294,5.6018386666,5.7810830446,5.5034271001,4.2720762165,6.2802047286,5.656144526,1.6167582371,32.8277666591,74.7236747034,134.8370034151,49.2881957599,82.7141927248,112.0757013942,2.4780255051,1.9373686468,3.0189037483,56.9524016702,86.0404825149,39.601398141,51.7999390492,57.7808376088,63.9820814318,
